A valid combination: CI01000136_1840781_1840954, CI01000198_164828_164892, CI01000028_6401654_6401837
A valid combination: CI01000198_164828_164892, CI01000014_691259_691276, CI01000026_3731277_3731406
A valid combination: CI01000198_164828_164892, CI01000014_691259_691276, CI01000026_3732103_3732450
A valid combination: CI01000198_164828_164892, CI01000014_691259_691276, CI01000028_6401654_6401837
A valid combination: CI01000198_164828_164892, CI01000014_691259_691276, CI01180000_2513727_2514082
A valid combination: CI01000198_164828_164892, CI01000026_3731277_3731406, CI01000028_6401654_6401837
A valid combination: CI01000198_164828_164892, CI01000026_3732103_3732450, CI01000028_6401654_6401837
A valid combination: CI01000198_164828_164892, CI01000143_755812_756051, CI01000028_6401654_6401837
A valid combination: CI01000198_164828_164892, CI01000028_6401654_6401837, CI01180000_2513727_2514082
A valid combination: CI01000014_691259_691276, CI01000026_3731277_3731406, CI01180000_2513727_2514082
A valid combination: CI01000014_691259_691276, CI01000026_3732103_3732450, CI01180000_2513727_2514082
