A valid combination: CI01000319_5388228_5388360, CI01000198_166768_166864, CI01000020_1061951_1062155, CI01000354_1613456_1613800
A valid combination: CI01000319_5388228_5388360, CI01000198_166768_166864, CI01000020_1061951_1062155, CI01000358_822761_822891
A valid combination: CI01000319_5388228_5388360, CI01000198_166768_166864, CI01000358_822761_822891, CI01000140_1440672_1440766
A valid combination: CI01000319_5388228_5388360, CI01000014_691259_691276, CI01000358_822761_822891, CI01000140_1440672_1440766
A valid combination: CI01000319_5388228_5388360, CI01000049_3944879_3944990, CI01000358_822761_822891, CI01000140_1440672_1440766
A valid combination: CI01000319_5388228_5388360, CI01000020_1061951_1062155, CI01000358_822761_822891, CI01000140_1440672_1440766
A valid combination: CI01000198_166768_166864, CI01000049_3944879_3944990, CI01000020_1061951_1062155, CI01000354_1613456_1613800
A valid combination: CI01000198_166768_166864, CI01000049_3944879_3944990, CI01000020_1061951_1062155, CI01000358_822761_822891
A valid combination: CI01000198_166768_166864, CI01000049_3944879_3944990, CI01000354_1613456_1613800, CI01000140_1440672_1440766
A valid combination: CI01000198_166768_166864, CI01000049_3944879_3944990, CI01000358_822761_822891, CI01000140_1440672_1440766
A valid combination: CI01000198_166768_166864, CI01000020_1061951_1062155, CI01000354_1613456_1613800, CI01000358_822761_822891
A valid combination: CI01000198_166768_166864, CI01000020_1061951_1062155, CI01000354_1613456_1613800, CI01000140_1440672_1440766
A valid combination: CI01000198_166768_166864, CI01000020_1061951_1062155, CI01000358_822761_822891, CI01000140_1440672_1440766
A valid combination: CI01000198_166768_166864, CI01000354_1613456_1613800, CI01000358_822761_822891, CI01000140_1440672_1440766
A valid combination: CI01000014_691259_691276, CI01000354_1613456_1613800, CI01000358_822761_822891, CI01000140_1440672_1440766
A valid combination: CI01000049_3944879_3944990, CI01000354_1613456_1613800, CI01000358_822761_822891, CI01000140_1440672_1440766
A valid combination: CI01000020_1061951_1062155, CI01000354_1613456_1613800, CI01000358_822761_822891, CI01000140_1440672_1440766
